"Attribute1","Attribute2","Attribute3","k","Accuracy","Sensitivity","Specificity"
"ScaleOverTime","isJL1","SO30",11,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",12,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",13,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",14,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",15,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",16,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",17,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",18,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",19,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",20,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",21,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",22,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",23,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",24,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",25,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",26,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",27,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",28,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",29,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",30,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","isTWY03",5,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",6,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",7,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",8,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",9,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",10,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",11,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",12,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",13,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",14,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",15,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",16,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",17,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",18,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",19,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",20,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",21,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",22,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",23,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",24,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",25,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",26,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",27,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",28,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",29,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","isTWY03",30,85.1724137931034,98.4931506849317,15.7142857142857
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",5,85.9195402298852,98.1506849315069,22.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",6,85.977011494253,98.219178082192,22.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",7,85.977011494253,98.219178082192,22.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",8,85.977011494253,98.219178082192,22.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",9,85.8620689655173,98.219178082192,21.4285714285714
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",10,85.8620689655173,98.219178082192,21.4285714285714
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",11,85.8620689655173,98.219178082192,21.4285714285714
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",12,85.8620689655173,98.219178082192,21.4285714285714
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",13,85.8620689655173,98.219178082192,21.4285714285714
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",14,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",15,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",16,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",17,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",18,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",19,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",20,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",21,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",22,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",23,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",24,85.1724137931034,98.219178082192,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",25,85.4022988505747,98.4931506849317,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",26,85.4022988505747,98.4931506849317,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",27,85.4022988505747,98.4931506849317,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",28,85.4022988505747,98.4931506849317,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",29,85.4022988505747,98.4931506849317,17.1428571428571
"ScaleOverTime","isJL1","ScaleYearsWithCurrManager",30,85.4022988505747,98.4931506849317,17.1428571428571
"ScaleOverTime","isSingle","ScaleMonthlyIncome",5,84.5459770114942,95.0780821917809,29.6285714285715
